File	Checksum
Compressed	fe3a116dec301452d8c937fca5b34139
Uncompressed	fe3a116dec301452d8c937fca5b34139

ID	Length	Checksum
haplotype1-0000098	358866	276060fdd7832a1458f8ab62a7f73f56
haplotype1-0000099	21346	a96b846923153894c40b0e2e542f1cfb
haplotype1-0000100	18011	41d21c5bd007811e00b5cab7ffda2261
haplotype1-0000101	23254	4d660d436da91bef48720992717d074f
haplotype1-0000102	19347	0460c4d1023819fdba64e5880138f1cb
haplotype1-0000103	26548	765e770e4c4ea2af68067d30efacfb64
haplotype1-0000104	183486	7100450fbc72f22028e0af90465e34b0
haplotype1-0000105	478173	b7dd7d8fa21d9c0b0acf23ada941be22
haplotype1-0000106	29247	5139ec61f10820e5e77a683ed7b83c1a
haplotype1-0000107	33672	2ce603a9c91aeefd190c0a96ebb1530e
haplotype1-0000108	32927	0ecad6f07e472a207a611de8dcb97584
haplotype1-0000109	15541	b1a6bdb2e0a5211ea19d418673ed51fa
haplotype1-0000110	45655	ed931ca4cd156177f10a6868e0d6f9fc
haplotype1-0000111	59795	4bf26f8e5f7b7c16a3dd4d218bafa038
haplotype1-0000112	38334	7db18db7939c0feaef1d9beb9d1eb296
haplotype1-0000113	13786	b2194bda5609cc8f605bd885eef1280a
haplotype1-0000114	13351	6a2d94bda69601ef1dd70b7fbc93eed9
haplotype1-0000115	165065	d0b67664b066cb95d4f03394416e970e
haplotype1-0000116	151813	f41d2cd7c1dc28d0f756accf808eef41
haplotype1-0000117	29869	88c7bc8793be024f327b9b88719a71c0
haplotype1-0000118	24901	50054d584ac51ba495edc7812d1cb6f9
haplotype1-0000119	24765	8151fc22b4aeb380a6ef928de24a0e9f
haplotype1-0000120	272969	be044ba6c96f6f69550f471a54c64c4f
haplotype1-0000121	177456	ee933539a19036c3431ac36e7ef3746d
haplotype1-0000122	22599	2bc9055cdeeffb8d224e5ca5ff9a6000
haplotype1-0000123	26983	4d8740bd1c06bc05640779e30effd71e
haplotype1-0000124	21327	86d34739cd7df19bde1588bd2d1432e2
haplotype1-0000125	28062	a636da3e329f9fda7ead47f75b4d430d
haplotype1-0000126	22005	ab249216fd40ea63c246ceeb36f4392a
haplotype1-0000127	31889	0e763be51c6f9739d1bdfc0c9e819105
haplotype1-0000128	26208	9626491f3875a275bcc7a4551b3fa74e
haplotype1-0000129	17154	7c50cf6702aba30fb00fa9a9c55a2da4
haplotype1-0000130	24181	a7d5b84364ee34a24de9adb125cfb57e
haplotype1-0000131	56687	a11eca95b8a467f2d5ee934281ee8f60
haplotype1-0000132	67424	ed107d205e8fd7f52a0f43dd1ff7d536
haplotype1-0000133	611627	301972646397c6cfc2fcc1ca19f70fbc
haplotype1-0000134	122595	a3a6921d5c014f6116bf84f4615d60a5
haplotype1-0000135	116935	ca163696e520b39299f2439fe587359d
haplotype1-0000136	31922	9043ccabfe24931286e1c7ab105f3420
haplotype1-0000137	63992	997f95decdf70c6f7968e95f28507b00
haplotype1-0000138	12226	b9ae49349ff0a206fb2005e86f5e5b84
haplotype1-0000139	18362	de622ee64b4d1ebcde12d3fc56654f1d
haplotype1-0000140	19758	fc9285c6ca0f8f43b47646ce7be2f75c
haplotype1-0000141	54063	0e9ce4bb7345b1bb2467d32e87ced41d
haplotype1-0000142	35204	3f6df518af736d5968e4fb1f86a891b7
haplotype1-0000143	27582	a4ee10a9609bd5bb6c92a3abd9939d75
haplotype1-0000144	20258	e88d10fa27a4d7f197809e4275f157b6
haplotype1-0000145	548567	84bbe20c07973cfc668b2c15f1af3b7a
haplotype1-0000146	20482	45eb5937241e69f60f727fa6617749ce
haplotype1-0000147	11343	078c18dcdf92a3cdf0056aa242d5d0b7
